id,Ranking,Drzava,Ime,Starost,Turnirji
149,149,KOR,Duckhee Lee,18,30
150,150,ARG,Maximo Gonzalez,33,21
151,151,LAT,Ernests Gulbis,28,16
152,152,BAR,Darian King,24,21
153,153,FRA,Quentin Halys,20,30
154,154,TPE,Jason Jung,27,24
155,155,SLO,Grega Zemlja,30,27
156,156,RUS,Andrey Rublev,19,27
157,157,ITA,Luca Vanni,31,26
158,158,HUN,Marton Fucsovics,24,23
159,159,CHN,Di Wu,25,27
160,160,SWE,Elias Ymer,20,25
161,161,CZE,Jan Satral,26,19
162,162,FRA,Kenny De Schepper,29,23
163,163,ESP,Enrique Lopez-Perez,25,29
164,164,ESP,Albert Montanes,36,20
165,165,FRA,Constant Lestienne,24,22
166,166,CAN,Steven Diez,25,29
167,167,BEL,Ruben Bemelmans,28,21
168,168,GER,Daniel Brands,29,20
169,169,USA,Dennis Novikov,23,27
170,170,AUS,Andrew Whittington,23,24
171,171,JPN,Tatsuma Ito,28,20
172,172,ITA,Stefano Napolitano,21,22
173,173,JPN,Hiroki Moriya,26,26
174,174,KAZ,Aleksandr Nedovyesov,29,21
175,175,ITA,Federico Gaio,24,29
176,176,GER,Maximilian Marterer,21,18
177,177,NED,Igor Sijsling,29,25
178,178,BEL,Kimmer Coppejans,22,23
179,179,BLR,Ilya Ivashka,22,20
180,180,AUS,Sam Groth,29,30
181,181,BIH,Mirza Basic,25,19
182,182,GER,Michael Berrer,36,25
183,183,FRA,Mathias Bourgue,22,28
184,184,ARG,Agustin Velotti,24,28
185,185,SRB,Laslo Djere,21,25
186,186,ESA,Marcelo Arevalo,26,26
187,187,ITA,Marco Cecchinato,24,24
188,188,POR,Pedro Sousa,28,29
189,189,GER,Peter Gojowczyk,27,21
190,190,BLR,Uladzimir Ignatik,26,27
191,191,USA,Tennys Sandgren,25,25
192,192,IND,Saketh Myneni,29,17
193,193,RUS,Alexander Kudryavtsev,31,27
194,194,IRL,James McGee,29,20
195,195,BEL,Joris De Loore,23,25
196,196,AUS,Matthew Barton,25,22
